PROVIDER;DESCRIPTION;ACCOUNTID;REGION;ASSESSMENTDATE;REQUIREMENTS_ID;REQUIREMENTS_DESCRIPTION;REQUIREMENTS_ATTRIBUTES_IDGRUPOCONTROL;REQUIREMENTS_ATTRIBUTES_MARCO;REQUIREMENTS_ATTRIBUTES_CATEGORIA;REQUIREMENTS_ATTRIBUTES_DESCRIPCIONCONTROL;REQUIREMENTS_ATTRIBUTES_NIVEL;REQUIREMENTS_ATTRIBUTES_TIPO;REQUIREMENTS_ATTRIBUTES_DIMENSIONES;REQUIREMENTS_ATTRIBUTES_MODOEJECUCION;REQUIREMENTS_ATTRIBUTES_DEPENDENCIAS;STATUS;STATUSEXTENDED;RESOURCEID;CHECKID;MUTED;RESOURCENAME;FRAMEWORK;NAME
aws;The accreditation scheme of the ENS (National Security Scheme) has been developed by the Ministry of Finance and Public Administrations and the CCN (National Cryptological Center). This includes the basic principles and minimum requirements necessary for the adequate protection of information.;213146990554;ap-southeast-2;2026-07-15 20:14:58.543427;op.ext.7.aws.am.1;Gestión de incidentes;op.exp.7;operacional;explotación;Deberá proveerse la información relacionada con contactos alternativos (de facturación, operaciones y seguridad), con correos que no dependan de la misma persona. Deberá comprobarse regularmente que estas cuentas funcionan correctamente y mantener listas de correo para asegurar la recepción de avisos por personal disponible en cada momento. Además, deberán establecerse preguntas de desafío de seguridad y respuestas para el caso de que sea necesario autenticarse como propiterio de la cuenta para ponerse en contacto con el soporte de AWS.;alto;requisito;confidencialidad,integridad,trazabilidad,autenticidad,disponibilidad;automático;;MANUAL;Login to the AWS Console. Choose your account name on the top right of the window -> My Account -> Contact Information.;arn:aws:iam::213146990554:root;account_maintain_current_contact_details;False;213146990554;ENS;ENS RD 311/2022 - Categoría Alta
aws;The accreditation scheme of the ENS (National Security Scheme) has been developed by the Ministry of Finance and Public Administrations and the CCN (National Cryptological Center). This includes the basic principles and minimum requirements necessary for the adequate protection of information.;213146990554;ap-southeast-2;2026-07-15 20:14:58.543427;op.ext.7.aws.am.1;Gestión de incidentes;op.exp.7;operacional;explotación;Deberá proveerse la información relacionada con contactos alternativos (de facturación, operaciones y seguridad), con correos que no dependan de la misma persona. Deberá comprobarse regularmente que estas cuentas funcionan correctamente y mantener listas de correo para asegurar la recepción de avisos por personal disponible en cada momento. Además, deberán establecerse preguntas de desafío de seguridad y respuestas para el caso de que sea necesario autenticarse como propiterio de la cuenta para ponerse en contacto con el soporte de AWS.;alto;requisito;confidencialidad,integridad,trazabilidad,autenticidad,disponibilidad;automático;;MANUAL;Login to the AWS Console. Choose your account name on the top right of the window -> My Account -> Alternate Contacts -> Security Section.;arn:aws:iam::213146990554:root;account_security_contact_information_is_registered;False;213146990554;ENS;ENS RD 311/2022 - Categoría Alta
aws;The accreditation scheme of the ENS (National Security Scheme) has been developed by the Ministry of Finance and Public Administrations and the CCN (National Cryptological Center). This includes the basic principles and minimum requirements necessary for the adequate protection of information.;213146990554;ap-southeast-2;2026-07-15 20:14:58.543427;op.ext.7.aws.am.1;Gestión de incidentes;op.exp.7;operacional;explotación;Deberá proveerse la información relacionada con contactos alternativos (de facturación, operaciones y seguridad), con correos que no dependan de la misma persona. Deberá comprobarse regularmente que estas cuentas funcionan correctamente y mantener listas de correo para asegurar la recepción de avisos por personal disponible en cada momento. Además, deberán establecerse preguntas de desafío de seguridad y respuestas para el caso de que sea necesario autenticarse como propiterio de la cuenta para ponerse en contacto con el soporte de AWS.;alto;requisito;confidencialidad,integridad,trazabilidad,autenticidad,disponibilidad;automático;;MANUAL;Login to the AWS Console as root. Choose your account name on the top right of the window -> My Account -> Configure Security Challenge Questions.;arn:aws:iam::213146990554:root;account_security_questions_are_registered_in_the_aws_account;False;213146990554;ENS;ENS RD 311/2022 - Categoría Alta
aws;The accreditation scheme of the ENS (National Security Scheme) has been developed by the Ministry of Finance and Public Administrations and the CCN (National Cryptological Center). This includes the basic principles and minimum requirements necessary for the adequate protection of information.;213146990554;ap-southeast-2;2026-07-15 20:14:58.543427;op.acc.4.aws.iam.1;Proceso de gestión de derechos de acceso;op.acc.4;operacional;control de acceso;Las políticas IAM deben permitir sólo los privilegios necesarios para cada rol. Se recomienda comenzar con el mínimo nivel de permisos e ir añadiendo permisos adicionales según vaya surgiendo la necesidad en lugar de comenzar con permisos administrativos.;alto;requisito;confidencialidad,integridad,trazabilidad,autenticidad;automático;;PASS;CloudWatch doesn't allow cross-account sharing.;arn:aws:iam:ap-southeast-2:213146990554:role;cloudwatch_cross_account_sharing_disabled;False;213146990554;ENS;ENS RD 311/2022 - Categoría Alta
aws;The accreditation scheme of the ENS (National Security Scheme) has been developed by the Ministry of Finance and Public Administrations and the CCN (National Cryptological Center). This includes the basic principles and minimum requirements necessary for the adequate protection of information.;213146990554;ap-southeast-2;2026-07-15 20:14:58.543427;mp.com.1.aws.sg.1;Perímetro seguro;mp.com.1;medidas de protección;protección de las comunicaciones;Asegurar que el Security Group restrinja todo el tráfico. Para ello, se deberán agregar las reglas del Security Group que se aplica por defecto cuando se crea una VPC.;alto;requisito;confidencialidad,integridad,trazabilidad,autenticidad,disponibilidad;automático;;FAIL;Security group launch-wizard-9 (sg-0e24f3f2bbca5b5fa) was created using the EC2 Launch Wizard.;arn:aws:ec2:ap-southeast-2:213146990554:security-group/sg-0e24f3f2bbca5b5fa;ec2_securitygroup_from_launch_wizard;False;sg-0e24f3f2bbca5b5fa;ENS;ENS RD 311/2022 - Categoría Alta
aws;The accreditation scheme of the ENS (National Security Scheme) has been developed by the Ministry of Finance and Public Administrations and the CCN (National Cryptological Center). This includes the basic principles and minimum requirements necessary for the adequate protection of information.;213146990554;ap-southeast-2;2026-07-15 20:14:58.543427;mp.com.1.aws.sg.1;Perímetro seguro;mp.com.1;medidas de protección;protección de las comunicaciones;Asegurar que el Security Group restrinja todo el tráfico. Para ello, se deberán agregar las reglas del Security Group que se aplica por defecto cuando se crea una VPC.;alto;requisito;confidencialidad,integridad,trazabilidad,autenticidad,disponibilidad;automático;;PASS;Security group Kali Linux-2025.4-amd64-AutogenByAWSMP--1 (sg-0dd8eae2e1153c210) was not created using the EC2 Launch Wizard.;arn:aws:ec2:ap-southeast-2:213146990554:security-group/sg-0dd8eae2e1153c210;ec2_securitygroup_from_launch_wizard;False;sg-0dd8eae2e1153c210;ENS;ENS RD 311/2022 - Categoría Alta
aws;The accreditation scheme of the ENS (National Security Scheme) has been developed by the Ministry of Finance and Public Administrations and the CCN (National Cryptological Center). This includes the basic principles and minimum requirements necessary for the adequate protection of information.;213146990554;ap-southeast-2;2026-07-15 20:14:58.543427;mp.com.1.aws.sg.1;Perímetro seguro;mp.com.1;medidas de protección;protección de las comunicaciones;Asegurar que el Security Group restrinja todo el tráfico. Para ello, se deberán agregar las reglas del Security Group que se aplica por defecto cuando se crea una VPC.;alto;requisito;confidencialidad,integridad,trazabilidad,autenticidad,disponibilidad;automático;;FAIL;Security group launch-wizard-24 (sg-01b40d1c357914bca) was created using the EC2 Launch Wizard.;arn:aws:ec2:ap-southeast-2:213146990554:security-group/sg-01b40d1c357914bca;ec2_securitygroup_from_launch_wizard;False;sg-01b40d1c357914bca;ENS;ENS RD 311/2022 - Categoría Alta
aws;The accreditation scheme of the ENS (National Security Scheme) has been developed by the Ministry of Finance and Public Administrations and the CCN (National Cryptological Center). This includes the basic principles and minimum requirements necessary for the adequate protection of information.;213146990554;ap-southeast-2;2026-07-15 20:14:58.543427;mp.com.1.aws.sg.1;Perímetro seguro;mp.com.1;medidas de protección;protección de las comunicaciones;Asegurar que el Security Group restrinja todo el tráfico. Para ello, se deberán agregar las reglas del Security Group que se aplica por defecto cuando se crea una VPC.;alto;requisito;confidencialidad,integridad,trazabilidad,autenticidad,disponibilidad;automático;;FAIL;Security group launch-wizard-14 (sg-00b892f9efa4e0814) was created using the EC2 Launch Wizard.;arn:aws:ec2:ap-southeast-2:213146990554:security-group/sg-00b892f9efa4e0814;ec2_securitygroup_from_launch_wizard;False;sg-00b892f9efa4e0814;ENS;ENS RD 311/2022 - Categoría Alta
aws;The accreditation scheme of the ENS (National Security Scheme) has been developed by the Ministry of Finance and Public Administrations and the CCN (National Cryptological Center). This includes the basic principles and minimum requirements necessary for the adequate protection of information.;213146990554;ap-southeast-2;2026-07-15 20:14:58.543427;mp.com.1.aws.sg.1;Perímetro seguro;mp.com.1;medidas de protección;protección de las comunicaciones;Asegurar que el Security Group restrinja todo el tráfico. Para ello, se deberán agregar las reglas del Security Group que se aplica por defecto cuando se crea una VPC.;alto;requisito;confidencialidad,integridad,trazabilidad,autenticidad,disponibilidad;automático;;FAIL;Security group launch-wizard-15 (sg-0bc66643e651629dd) was created using the EC2 Launch Wizard.;arn:aws:ec2:ap-southeast-2:213146990554:security-group/sg-0bc66643e651629dd;ec2_securitygroup_from_launch_wizard;False;sg-0bc66643e651629dd;ENS;ENS RD 311/2022 - Categoría Alta
aws;The accreditation scheme of the ENS (National Security Scheme) has been developed by the Ministry of Finance and Public Administrations and the CCN (National Cryptological Center). This includes the basic principles and minimum requirements necessary for the adequate protection of information.;213146990554;ap-southeast-2;2026-07-15 20:14:58.543427;mp.com.1.aws.sg.1;Perímetro seguro;mp.com.1;medidas de protección;protección de las comunicaciones;Asegurar que el Security Group restrinja todo el tráfico. Para ello, se deberán agregar las reglas del Security Group que se aplica por defecto cuando se crea una VPC.;alto;requisito;confidencialidad,integridad,trazabilidad,autenticidad,disponibilidad;automático;;FAIL;Security group launch-wizard-12 (sg-04a9ab6d35a6a8de4) was created using the EC2 Launch Wizard.;arn:aws:ec2:ap-southeast-2:213146990554:security-group/sg-04a9ab6d35a6a8de4;ec2_securitygroup_from_launch_wizard;False;sg-04a9ab6d35a6a8de4;ENS;ENS RD 311/2022 - Categoría Alta
aws;The accreditation scheme of the ENS (National Security Scheme) has been developed by the Ministry of Finance and Public Administrations and the CCN (National Cryptological Center). This includes the basic principles and minimum requirements necessary for the adequate protection of information.;213146990554;ap-southeast-2;2026-07-15 20:14:58.543427;mp.com.1.aws.sg.1;Perímetro seguro;mp.com.1;medidas de protección;protección de las comunicaciones;Asegurar que el Security Group restrinja todo el tráfico. Para ello, se deberán agregar las reglas del Security Group que se aplica por defecto cuando se crea una VPC.;alto;requisito;confidencialidad,integridad,trazabilidad,autenticidad,disponibilidad;automático;;PASS;Security group Kali Linux-2026.1-amd64-AutogenByAWSMP--4 (sg-044ad0ea7338dbce0) was not created using the EC2 Launch Wizard.;arn:aws:ec2:ap-southeast-2:213146990554:security-group/sg-044ad0ea7338dbce0;ec2_securitygroup_from_launch_wizard;False;sg-044ad0ea7338dbce0;ENS;ENS RD 311/2022 - Categoría Alta
aws;The accreditation scheme of the ENS (National Security Scheme) has been developed by the Ministry of Finance and Public Administrations and the CCN (National Cryptological Center). This includes the basic principles and minimum requirements necessary for the adequate protection of information.;213146990554;ap-southeast-2;2026-07-15 20:14:58.543427;mp.com.1.aws.sg.1;Perímetro seguro;mp.com.1;medidas de protección;protección de las comunicaciones;Asegurar que el Security Group restrinja todo el tráfico. Para ello, se deberán agregar las reglas del Security Group que se aplica por defecto cuando se crea una VPC.;alto;requisito;confidencialidad,integridad,trazabilidad,autenticidad,disponibilidad;automático;;FAIL;Security group launch-wizard-28 (sg-0003161c3fb914627) was created using the EC2 Launch Wizard.;arn:aws:ec2:ap-southeast-2:213146990554:security-group/sg-0003161c3fb914627;ec2_securitygroup_from_launch_wizard;False;sg-0003161c3fb914627;ENS;ENS RD 311/2022 - Categoría Alta
aws;The accreditation scheme of the ENS (National Security Scheme) has been developed by the Ministry of Finance and Public Administrations and the CCN (National Cryptological Center). This includes the basic principles and minimum requirements necessary for the adequate protection of information.;213146990554;ap-southeast-2;2026-07-15 20:14:58.543427;mp.com.1.aws.sg.1;Perímetro seguro;mp.com.1;medidas de protección;protección de las comunicaciones;Asegurar que el Security Group restrinja todo el tráfico. Para ello, se deberán agregar las reglas del Security Group que se aplica por defecto cuando se crea una VPC.;alto;requisito;confidencialidad,integridad,trazabilidad,autenticidad,disponibilidad;automático;;PASS;Security group Kali Linux-2026.1-amd64-AutogenByAWSMP--7 (sg-0b16338608e021959) was not created using the EC2 Launch Wizard.;arn:aws:ec2:ap-southeast-2:213146990554:security-group/sg-0b16338608e021959;ec2_securitygroup_from_launch_wizard;False;sg-0b16338608e021959;ENS;ENS RD 311/2022 - Categoría Alta
aws;The accreditation scheme of the ENS (National Security Scheme) has been developed by the Ministry of Finance and Public Administrations and the CCN (National Cryptological Center). This includes the basic principles and minimum requirements necessary for the adequate protection of information.;213146990554;ap-southeast-2;2026-07-15 20:14:58.543427;mp.com.1.aws.sg.1;Perímetro seguro;mp.com.1;medidas de protección;protección de las comunicaciones;Asegurar que el Security Group restrinja todo el tráfico. Para ello, se deberán agregar las reglas del Security Group que se aplica por defecto cuando se crea una VPC.;alto;requisito;confidencialidad,integridad,trazabilidad,autenticidad,disponibilidad;automático;;PASS;Security group default (sg-09402e715b9924e03) was not created using the EC2 Launch Wizard.;arn:aws:ec2:ap-southeast-2:213146990554:security-group/sg-09402e715b9924e03;ec2_securitygroup_from_launch_wizard;False;sg-09402e715b9924e03;ENS;ENS RD 311/2022 - Categoría Alta
aws;The accreditation scheme of the ENS (National Security Scheme) has been developed by the Ministry of Finance and Public Administrations and the CCN (National Cryptological Center). This includes the basic principles and minimum requirements necessary for the adequate protection of information.;213146990554;ap-southeast-2;2026-07-15 20:14:58.543427;mp.com.1.aws.sg.1;Perímetro seguro;mp.com.1;medidas de protección;protección de las comunicaciones;Asegurar que el Security Group restrinja todo el tráfico. Para ello, se deberán agregar las reglas del Security Group que se aplica por defecto cuando se crea una VPC.;alto;requisito;confidencialidad,integridad,trazabilidad,autenticidad,disponibilidad;automático;;PASS;Security group Kali Linux-2026.1-amd64-AutogenByAWSMP--6 (sg-034bdb14753e85207) was not created using the EC2 Launch Wizard.;arn:aws:ec2:ap-southeast-2:213146990554:security-group/sg-034bdb14753e85207;ec2_securitygroup_from_launch_wizard;False;sg-034bdb14753e85207;ENS;ENS RD 311/2022 - Categoría Alta
aws;The accreditation scheme of the ENS (National Security Scheme) has been developed by the Ministry of Finance and Public Administrations and the CCN (National Cryptological Center). This includes the basic principles and minimum requirements necessary for the adequate protection of information.;213146990554;ap-southeast-2;2026-07-15 20:14:58.543427;mp.com.1.aws.sg.1;Perímetro seguro;mp.com.1;medidas de protección;protección de las comunicaciones;Asegurar que el Security Group restrinja todo el tráfico. Para ello, se deberán agregar las reglas del Security Group que se aplica por defecto cuando se crea una VPC.;alto;requisito;confidencialidad,integridad,trazabilidad,autenticidad,disponibilidad;automático;;PASS;Security group EG-SG (sg-03667e84668fbefee) was not created using the EC2 Launch Wizard.;arn:aws:ec2:ap-southeast-2:213146990554:security-group/sg-03667e84668fbefee;ec2_securitygroup_from_launch_wizard;False;sg-03667e84668fbefee;ENS;ENS RD 311/2022 - Categoría Alta
aws;The accreditation scheme of the ENS (National Security Scheme) has been developed by the Ministry of Finance and Public Administrations and the CCN (National Cryptological Center). This includes the basic principles and minimum requirements necessary for the adequate protection of information.;213146990554;ap-southeast-2;2026-07-15 20:14:58.543427;mp.com.1.aws.sg.1;Perímetro seguro;mp.com.1;medidas de protección;protección de las comunicaciones;Asegurar que el Security Group restrinja todo el tráfico. Para ello, se deberán agregar las reglas del Security Group que se aplica por defecto cuando se crea una VPC.;alto;requisito;confidencialidad,integridad,trazabilidad,autenticidad,disponibilidad;automático;;FAIL;Security group launch-wizard-2 (sg-0e3756b7faacf9749) was created using the EC2 Launch Wizard.;arn:aws:ec2:ap-southeast-2:213146990554:security-group/sg-0e3756b7faacf9749;ec2_securitygroup_from_launch_wizard;False;sg-0e3756b7faacf9749;ENS;ENS RD 311/2022 - Categoría Alta
